text,fallacy_type,taxonomy_group,clean_text
Politician: Taxes are too hard to understand. The government must be tricking us and taking our money. We need to simplify our taxes!,intentional,Clarity Fallacy,politician tax hard understand government must tricking u taking money need simplify tax
"JOHN F. KENNEDY: I'm not satisfied when the United States had last year the lowest rate of economic growth of any major industrialized society in the world… (from opening statement)
RICHARD NIXON: We heard tonight, for example, the statement made that our growth in national product last year was the lowest of any industrial nation in the world. Now last year, of course, was 1958. That happened to be a recession year. But when we look at the growth of G.N.P. this year, a year of recovery, we find that it's six and nine-tenths per cent and one of the highest in the world today… (from opening statement)
September 26, 1960
Chicago, Illinois

What logical fallacy does Kennedy use?",faulty generalization,Presumption Fallacy,john f kennedy im satisfied united state last year lowest rate economic growth major industrialized society world opening statement richard nixon heard tonight example statement made growth national product last year lowest industrial nation world last year course happened recession year look growth gnp year year recovery find six ninetenths per cent one highest world today opening statement september chicago illinois logical fallacy kennedy use
Within every man's heart is the desire to be free.,faulty generalization,Presumption Fallacy,within every man heart desire free
Filthy and polluting coal should be banned.,circular reasoning,Presumption Fallacy,filthy polluting coal banned
"Don't let your children stay up till midnight on New Year's Eve. Before you know it, they'll be demanding to stay up till midnight every night.",faulty generalization,Presumption Fallacy,dont let child stay till midnight new year eve know theyll demanding stay till midnight every night
"""Officer, I was only driving as fast as everyone around me. I'm sure I wasn't speeding.""",ad populum,Relevance Fallacy,officer driving fast everyone around im sure wasnt speeding
"""If you hadn't vandalized that car, don't you think things would have gone better for you?""",intentional,Clarity Fallacy,hadnt vandalized car dont think thing would gone better
"Most people think the world is flat, therefore it is flat.",ad populum,Relevance Fallacy,people think world flat therefore flat
"Quinoa is a delicious, plant-based source of protein because it tastes so darn good.",circular reasoning,Presumption Fallacy,quinoa delicious plantbased source protein taste darn good
We know he’s not lying since he says he’s telling the truth.,circular reasoning,Presumption Fallacy,know he lying since say he telling truth
"Because 90% of college students polled had no debt, education costs are not a problem.",intentional,Clarity Fallacy,college student polled debt education cost problem
"Joe and Sam are at the race track betting on horses. Joe: ""You see that horse over there? He lost his last four races. I'm going to bet on him.""
Sam: ""Why? I think he will probably lose.""
Joe: ""No way, Sam. I looked up the horse's stats and he has won half his races in the past two years. Since he has lost three of his last four races, he'll have to win this race. So I'm betting the farm on him.""
Sam: ""Are you sure?""
Joe: ""Of course I'm sure. That pony is due, man...he's due!""",ad populum,Relevance Fallacy,joe sam race track betting horse joe see horse lost last four race im going bet sam think probably lose joe way sam looked horse stats half race past two year since lost three last four race hell win race im betting farm sam sure joe course im sure pony due manhes due
"The priest told me I should have faith.
I have faith that my son will do well in school this year.
Therefore, the priest should be happy with me.",equivocation,Clarity Fallacy,priest told faith faith son well school year therefore priest happy
